epoch,train_loss,train_class_y_loss,train_acc_y,train_acc_d,val_loss,val_class_y_loss,val_acc_y,val_acc_d,cross_acc_y,cross_acc_d
1,1256547.100732044,158.25282218300836,0.7736611593202017,0.6445956228981503,1256547.100732044,158.25282218300836,0.75685125963474,0.6174821435160757,0.6133442540322581,0.12290421069707082
2,1170599.361066989,146.30949080156358,0.7887966910881575,0.6550559842661542,1170599.361066989,146.30949080156358,0.7688704278931531,0.6272272118861194,0.6097838177685351,0.1684112265943641
3,1143900.056616022,141.92612413943803,0.7860535652624309,0.661274161887461,1143900.056616022,141.92612413943803,0.767851658019323,0.6314273880992948,0.5730308358925377,0.1688027269127533
4,1129441.0068888122,139.1869101436889,0.7950297805819121,0.6473365905747057,1129441.0068888122,139.1869101436889,0.7769183530609185,0.6241032805766432,0.6061396280186521,0.17321335551982073
5,1117667.2792610498,136.92872683150992,0.7938946016244295,0.6679928837376892,1117667.2792610498,136.92872683150992,0.77319970954862,0.6369459307243023,0.6178077166054069,0.15260297648554755
6,1110053.9256008288,134.75738908883616,0.7997680252372088,0.6662322487539034,1110053.9256008288,134.75738908883616,0.782401983918178,0.6389229128555788,0.629893785466138,0.11866193919169447
7,1099454.15847721,132.28083681896905,0.8030531880554889,0.6732453703008647,1099454.15847721,132.28083681896905,0.7812057224355204,0.6432488304512405,0.6151228821073335,0.12064097739436733
8,1093950.7499412983,130.96937016144642,0.7944484765343502,0.6802832617703579,1093950.7499412983,130.96937016144642,0.7765953216015751,0.646458997004979,0.6025379762235817,0.14633808977567667
9,1089456.1635566298,129.95503279585864,0.7928074686974538,0.6807640073264473,1089456.1635566298,129.95503279585864,0.7760390350427345,0.650448662976449,0.6066931566978607,0.17638210254751657
10,1088093.8031940607,129.28384566164806,0.7948647872627913,0.6756452565757867,1088093.8031940607,129.28384566164806,0.7786655440301222,0.6432315289236868,0.5992962440150892,0.16056635870572777
11,1086066.3197790056,128.6116283231282,0.8049139442709585,0.6763807500600528,1086066.3197790056,128.6116283231282,0.7853718948593026,0.646801713435058,0.6050291701427513,0.15369869878568782
12,1083445.5812051105,127.99149533645883,0.8056968719973576,0.6828837864821042,1083445.5812051105,127.99149533645883,0.7864476676142571,0.652435532992011,0.5897558403258047,0.1287534471171672
